drug 	 gene 	 date 	 conc 	 dataNum 	 objNum 	numTxnSites 	 intensity 
Triptolide	MYC	141113	Ctrl	1	2	1	1804.000000
Triptolide	MYC	141113	Ctrl	1	3	1	7087.000000
Triptolide	MYC	141113	Ctrl	2	1	1	1185.000000
Triptolide	MYC	141113	Ctrl	2	2	2	20069.000000
Triptolide	MYC	141113	Ctrl	2	2	2	17494.000000
Triptolide	MYC	141113	Ctrl	3	1	1	1843.000000
Triptolide	MYC	141113	Ctrl	3	2	1	986.000000
Triptolide	MYC	141113	Ctrl	4	1	0	0.000000
Triptolide	MYC	141113	Ctrl	4	2	2	2548.000000
Triptolide	MYC	141113	Ctrl	4	2	2	2535.000000
Triptolide	MYC	141113	Ctrl	4	3	4	1919.000000
Triptolide	MYC	141113	Ctrl	4	3	4	2434.000000
Triptolide	MYC	141113	Ctrl	4	3	4	1304.000000
Triptolide	MYC	141113	Ctrl	4	3	4	1334.000000
Triptolide	MYC	141113	Ctrl	5	1	2	8885.000000
Triptolide	MYC	141113	Ctrl	5	1	2	6345.000000
Triptolide	MYC	141113	Ctrl	5	2	0	0.000000
Triptolide	MYC	141113	Ctrl	5	3	1	21043.000000
Triptolide	MYC	141113	Ctrl	5	4	1	4897.000000
Triptolide	MYC	141113	Ctrl	6	1	1	11796.000000
Triptolide	MYC	141113	Ctrl	6	2	1	2286.000000
Triptolide	MYC	141113	Ctrl	7	1	2	7438.000000
Triptolide	MYC	141113	Ctrl	7	1	2	10260.000000
Triptolide	MYC	141113	Ctrl	7	2	1	2798.000000
Triptolide	MYC	141113	Ctrl	8	1	1	1915.000000
Triptolide	MYC	141113	Ctrl	8	2	0	0.000000
Triptolide	MYC	141113	Ctrl	9	1	4	1224.000000
Triptolide	MYC	141113	Ctrl	9	1	4	1967.000000
Triptolide	MYC	141113	Ctrl	9	1	4	1774.000000
Triptolide	MYC	141113	Ctrl	9	1	4	1265.000000
Triptolide	MYC	141113	Ctrl	9	2	2	1259.000000
Triptolide	MYC	141113	Ctrl	9	2	2	964.000000
Triptolide	MYC	141113	Ctrl	9	3	1	2803.000000
Triptolide	MYC	141113	Ctrl	9	4	0	0.000000
Triptolide	MYC	141113	Ctrl	10	1	0	0.000000
Triptolide	MYC	141113	Ctrl	10	2	2	1611.000000
Triptolide	MYC	141113	Ctrl	10	2	2	4776.000000
Triptolide	MYC	141113	Ctrl	11	1	0	0.000000
Triptolide	MYC	141113	Ctrl	11	2	1	3776.000000
Triptolide	MYC	141113	Ctrl	12	1	1	11682.000000
Triptolide	MYC	141113	Ctrl	12	2	2	4771.000000
Triptolide	MYC	141113	Ctrl	12	2	2	2974.000000
Triptolide	MYC	141113	Ctrl	13	1	2	4521.000000
Triptolide	MYC	141113	Ctrl	13	1	2	2158.000000
Triptolide	MYC	141113	Ctrl	13	2	1	5655.000000
Triptolide	MYC	141113	Ctrl	14	1	1	5682.000000
Triptolide	MYC	141113	Ctrl	14	2	3	3361.000000
Triptolide	MYC	141113	Ctrl	14	2	3	2886.000000
Triptolide	MYC	141113	Ctrl	14	2	3	2616.000000
Triptolide	MYC	141113	Ctrl	14	3	2	1712.000000
Triptolide	MYC	141113	Ctrl	14	3	2	2149.000000
Triptolide	MYC	141113	Ctrl	15	1	2	4301.000000
Triptolide	MYC	141113	Ctrl	15	1	2	2024.000000
Triptolide	MYC	141113	Ctrl	15	2	0	0.000000
Triptolide	MYC	141113	Ctrl	16	1	1	3522.000000
Triptolide	MYC	141113	Ctrl	16	2	1	17917.000000
Triptolide	MYC	141113	Ctrl	16	3	1	2046.000000
Triptolide	MYC	141113	Ctrl	17	1	1	3608.000000
Triptolide	MYC	141113	Ctrl	17	2	0	0.000000
Triptolide	MYC	141113	Ctrl	17	3	1	1242.000000
Triptolide	MYC	141113	Ctrl	18	1	0	0.000000
Triptolide	MYC	141113	Ctrl	18	2	0	0.000000
